Student_ID,Age,Gender,Region,Subject,App_Login_Count,Video_Completion_Rate,Study_Hours_Per_Week,Percentage,Engagement_Level,Engagement_Score
S00053,17,Female,Alexandria,Computer Science,20,58.51,10.32,92.17,Low,44.66
S00054,17,Female,Mansoura,Arabic,17,39.16,9.27,66.69,Low,33.21
S00055,15,Female,Alexandria,English,22,64.51,7.61,94.3,Medium,49.2
S00056,16,Female,Alexandria,Computer Science,23,44.13,10.55,91.58,Low,40.94
S00057,22,Male,Alexandria,Computer Science,20,42.97,2.98,60.92,Low,37.67
S00058,20,Female,Giza,English,17,74.27,10.33,92.95,Medium,49.0
S00059,20,Male,Assiut,Computer Science,14,78.51,7.83,98.68,Medium,48.16
S00060,17,Male,Cairo,Arabic,19,65.64,9.01,64.89,Medium,46.95
S00061,21,Male,Alexandria,Science,15,64.73,10.99,72.99,Low,42.88
S00062,16,Male,Aswan,Science,17,68.46,11.35,77.56,Medium,46.39
S00063,22,Female,Assiut,English,17,54.67,9.3,81.27,Low,40.18
S00064,19,Male,Alexandria,Computer Science,19,78.43,7.03,85.06,Medium,52.71
S00065,17,Female,Mansoura,Computer Science,11,67.83,4.27,75.69,Low,40.61
S00066,21,Female,Giza,Science,17,84.72,9.51,96.9,Medium,53.71
S00067,18,Male,Alexandria,Arabic,14,19.33,8.24,74.49,Low,21.53
S00068,17,Female,Cairo,English,13,74.2,11.33,79.4,Medium,45.31
S00069,20,Female,Cairo,English,13,100.0,11.39,97.85,Medium,56.92
S00070,20,Female,Cairo,Science,22,70.26,9.31,92.63,Medium,51.78
S00071,19,Male,Mansoura,Math,21,31.65,8.5,47.91,Low,33.49
S00072,18,Female,Alexandria,Computer Science,23,43.38,9.24,63.01,Low,40.6
S00073,17,Female,Aswan,English,20,72.23,3.21,70.25,Medium,50.84
S00074,18,Female,Cairo,English,20,60.25,2.95,70.31,Medium,45.45
S00075,21,Male,Cairo,English,15,40.97,2.6,53.71,Low,32.19
S00076,17,Female,Assiut,Science,17,36.67,12.07,72.04,Low,32.08
S00077,22,Female,Cairo,Math,20,83.08,8.79,85.95,Medium,55.72
S00078,16,Female,Alexandria,Science,12,45.13,11.19,68.89,Low,31.31
S00079,16,Male,Cairo,English,23,43.72,12.58,81.82,Low,40.76
S00080,17,Male,Cairo,Arabic,16,72.8,5.42,68.22,Medium,47.43
S00081,15,Male,Alexandria,English,21,63.79,6.91,89.7,Medium,47.96
S00082,22,Female,Alexandria,Science,19,72.59,11.62,86.32,Medium,50.08
S00083,17,Female,Cairo,Science,14,48.88,9.66,72.25,Low,34.83
S00084,15,Male,Giza,English,16,84.22,7.81,86.59,Medium,52.57
S00085,19,Male,Giza,Arabic,25,85.61,8.69,64.16,Medium,61.44
S00086,22,Male,Cairo,English,13,62.66,9.63,82.1,Low,40.11
S00087,22,Female,Aswan,Science,17,58.97,9.99,61.86,Low,42.12
S00088,15,Female,Assiut,English,20,79.92,6.56,53.76,Medium,54.3
S00089,21,Male,Cairo,Arabic,21,84.27,10.82,88.66,Medium,57.17
S00090,17,Male,Giza,Computer Science,18,68.89,6.75,73.52,Medium,47.5
S00091,21,Female,Cairo,Computer Science,23,64.87,10.8,100.0,Medium,50.27
S00092,19,Male,Cairo,Arabic,15,87.72,10.11,88.92,Medium,53.22
S00093,20,Male,Aswan,Math,23,100.0,12.35,98.35,Medium,66.08
S00094,21,Female,Cairo,Math,27,79.31,6.51,90.71,Medium,60.44
S00095,22,Male,Mansoura,Science,13,77.39,9.58,67.34,Medium,46.74
S00096,16,Female,Mansoura,Computer Science,19,65.43,10.47,94.65,Medium,46.86
S00097,20,Female,Mansoura,Science,19,62.26,6.74,55.81,Medium,45.43
S00098,16,Male,Alexandria,Math,27,85.96,10.37,95.28,Medium,63.43
S00099,22,Male,Giza,English,20,68.65,9.32,75.97,Medium,49.23
S00100,20,Female,Mansoura,Math,25,96.12,10.42,94.94,Medium,66.17
S00101,16,Male,Mansoura,Arabic,22,77.21,7.37,85.27,Medium,54.91
S00102,17,Female,Alexandria,Math,16,93.9,10.15,98.75,Medium,56.92
S00103,22,Male,Cairo,Math,16,34.15,5.56,59.5,Low,30.03
S00104,20,Female,Cairo,Arabic,18,70.79,12.21,91.49,Medium,48.36
S00105,16,Male,Cairo,Arabic,25,29.96,9.36,92.37,Low,36.4
S00106,21,Male,Cairo,Arabic,15,93.85,12.78,96.37,Medium,55.98
S00107,20,Male,Alexandria,English,24,83.54,8.4,90.26,Medium,59.59
S00108,15,Male,Mansoura,Science,28,62.84,8.1,87.16,Medium,53.94
S00109,17,Female,Assiut,Arabic,15,88.41,7.71,66.28,Medium,53.53
S00110,21,Male,Alexandria,Computer Science,21,43.34,6.25,88.93,Low,38.75
S00111,17,Female,Mansoura,Math,14,26.04,9.66,71.03,Low,24.55
S00112,15,Male,Assiut,Math,16,61.7,5.13,62.6,Low,42.43
S00113,19,Male,Alexandria,Arabic,14,80.03,8.15,75.71,Medium,48.85
S00114,22,Female,Mansoura,Computer Science,14,54.87,7.76,83.72,Low,37.52
S00115,19,Male,Giza,Math,16,36.3,4.14,54.61,Low,31.0
S00116,22,Male,Aswan,Arabic,16,65.81,6.04,87.4,Low,44.28
S00117,15,Female,Cairo,English,16,78.5,4.56,83.15,Medium,49.99
S00118,20,Female,Assiut,Arabic,18,84.64,9.47,83.21,Medium,54.59
S00119,20,Female,Alexandria,Arabic,19,70.82,13.51,81.39,Medium,49.29
S00120,22,Female,Giza,Computer Science,25,46.94,8.32,93.61,Low,44.04
S00121,19,Female,Giza,Math,15,54.42,9.65,76.03,Low,38.24
S00122,21,Male,Cairo,English,22,66.45,6.77,100.0,Medium,50.07
S00123,16,Male,Mansoura,Arabic,15,92.31,5.6,63.64,Medium,55.29
S00124,15,Female,Giza,Science,19,54.49,9.08,87.14,Low,41.94
S00125,20,Male,Alexandria,Science,18,45.93,7.44,68.29,Low,37.17
S00126,15,Male,Mansoura,Science,11,81.59,2.06,77.69,Medium,46.8
S00127,21,Female,Alexandria,Computer Science,17,56.43,11.77,86.93,Low,40.98
S00128,15,Male,Mansoura,Math,18,78.99,15.32,86.18,Medium,52.05
S00129,20,Male,Cairo,English,16,89.93,9.01,85.6,Medium,55.14
S00130,18,Male,Giza,Science,17,39.26,9.33,70.04,Low,33.25
S00131,20,Male,Cairo,Arabic,13,81.45,1.99,71.34,Medium,48.57
S00132,19,Male,Aswan,English,18,52.76,8.38,72.76,Low,40.24
S00133,18,Female,Mansoura,Science,12,46.54,8.56,80.59,Low,31.94
S00134,18,Male,Mansoura,Science,19,72.17,8.88,86.92,Medium,49.89
S00135,19,Male,Alexandria,Computer Science,20,65.84,8.44,92.76,Medium,47.96
S00136,20,Female,Cairo,Computer Science,18,38.64,5.98,76.97,Low,33.89
S00137,20,Male,Giza,Arabic,27,76.04,9.34,96.4,Medium,58.97
S00138,18,Female,Alexandria,Computer Science,17,73.06,10.05,89.04,Medium,48.46
S00139,17,Female,Cairo,Math,18,71.85,18.28,85.35,Medium,48.83
S00140,15,Female,Assiut,English,17,67.86,8.33,69.7,Medium,46.12
S00141,21,Male,Mansoura,Math,14,69.61,9.62,74.42,Low,44.16
S00142,16,Female,Giza,Arabic,19,81.99,10.67,78.26,Medium,54.31
S00143,18,Female,Assiut,Computer Science,17,71.55,10.42,81.89,Medium,47.78
S00144,22,Female,Alexandria,Arabic,25,48.1,8.83,88.2,Low,44.56
S00145,21,Male,Cairo,Computer Science,24,67.16,13.5,92.2,Medium,52.22
S00146,17,Male,Giza,Math,18,76.14,7.01,74.0,Medium,50.76
S00147,18,Female,Alexandria,Computer Science,25,60.59,8.09,95.14,Medium,50.18
S00148,17,Female,Assiut,Arabic,11,97.45,10.96,85.63,Medium,53.94
S00149,20,Male,Giza,Computer Science,14,76.42,8.96,79.77,Medium,47.22
S00150,16,Female,Cairo,Arabic,17,73.94,7.46,76.88,Medium,48.86
S00151,22,Male,Cairo,English,16,78.7,12.91,89.97,Medium,50.08
S00152,22,Female,Assiut,Science,15,65.54,12.89,87.63,Low,43.24
S00153,17,Male,Giza,English,16,79.77,13.31,88.24,Medium,50.56
S00154,16,Female,Assiut,English,11,76.5,6.6,72.41,Low,44.51
S00155,19,Female,Cairo,Science,14,68.92,16.73,93.87,Low,43.85
S00156,20,Male,Mansoura,Math,22,71.6,14.2,100.0,Medium,52.39
S00157,20,Female,Giza,English,23,67.17,4.47,83.63,Medium,51.31
S00158,15,Male,Cairo,Science,18,82.1,8.81,82.69,Medium,53.44
S00159,20,Male,Alexandria,English,18,53.11,6.33,87.75,Low,40.4
S00160,15,Male,Mansoura,Arabic,19,62.31,5.9,85.57,Medium,45.46
S00161,17,Male,Aswan,Computer Science,24,35.67,7.69,82.46,Low,38.05
S00162,20,Male,Aswan,Arabic,23,84.95,10.52,91.66,Medium,59.31
S00163,22,Female,Alexandria,Arabic,19,87.23,11.46,95.73,Medium,56.67
S00164,20,Female,Assiut,Computer Science,15,55.59,9.22,79.01,Low,38.77
S00165,16,Female,Alexandria,Math,19,40.05,5.67,55.02,Low,35.44
S00166,20,Male,Alexandria,Math,15,79.12,3.49,57.21,Medium,49.35
S00167,15,Female,Cairo,Math,18,73.55,10.98,82.15,Medium,49.6
S00168,16,Female,Assiut,Math,20,81.66,9.45,77.86,Medium,55.08
S00169,15,Female,Aswan,English,25,81.82,10.62,80.3,Medium,59.74
S00170,22,Female,Cairo,English,24,48.78,12.32,97.08,Low,43.95
S00171,17,Female,Giza,English,22,78.24,8.12,77.32,Medium,55.37
S00172,19,Female,Cairo,Science,18,71.7,12.08,98.35,Medium,48.76
S00173,21,Male,Giza,English,30,90.51,8.97,100.0,Medium,68.23
S00174,22,Male,Alexandria,Computer Science,19,51.11,6.78,62.1,Low,40.42
S00175,22,Male,Giza,Science,14,90.64,8.98,100.0,Medium,53.62
S00176,16,Female,Alexandria,Math,22,70.09,10.25,91.7,Medium,51.71
S00177,18,Male,Mansoura,Math,19,75.8,9.71,100.0,Medium,51.53
S00178,18,Female,Cairo,Arabic,18,35.85,6.61,90.71,Low,32.63
S00179,21,Male,Mansoura,Science,17,58.63,10.28,81.46,Low,41.97
S00180,17,Male,Mansoura,Math,19,89.58,11.03,77.7,Medium,57.73
S00181,16,Male,Alexandria,Arabic,18,61.73,6.26,83.87,Low,44.28
S00182,21,Female,Giza,Science,15,86.39,5.23,68.68,Medium,52.63
S00183,18,Female,Aswan,Arabic,23,45.56,6.29,63.26,Low,41.59
S00184,20,Male,Giza,Math,22,76.52,9.32,94.27,Medium,54.6
S00185,18,Female,Cairo,Math,22,53.54,7.96,92.03,Low,44.26
S00186,18,Female,Cairo,Science,18,100.0,9.71,83.51,Medium,61.5
S00187,15,Female,Aswan,Arabic,12,99.25,9.0,95.7,Medium,55.66
S00188,15,Female,Cairo,Science,25,86.97,11.65,97.25,Medium,62.05
S00189,15,Female,Alexandria,Computer Science,16,94.86,6.62,83.42,Medium,57.35
S00190,16,Female,Assiut,Computer Science,15,79.09,7.05,68.52,Medium,49.34
S00191,17,Male,Alexandria,Math,17,100.0,10.47,98.06,Medium,60.58
S00192,15,Male,Assiut,Arabic,26,67.75,1.0,80.99,Medium,54.32
S00193,16,Male,Giza,Math,14,74.61,9.26,66.99,Medium,46.41
S00194,21,Female,Assiut,Arabic,25,71.65,9.0,77.55,Medium,55.16
S00195,21,Male,Cairo,Math,22,57.85,11.38,67.67,Medium,46.2
S00196,17,Female,Giza,Computer Science,26,41.49,11.43,95.23,Low,42.5
S00197,22,Female,Cairo,Arabic,17,62.81,5.78,86.0,Low,43.85
S00198,15,Female,Alexandria,Arabic,21,67.01,9.81,83.42,Medium,49.4
S00199,15,Female,Cairo,Computer Science,15,81.45,6.77,74.5,Medium,50.4
S00200,17,Male,Alexandria,Math,27,69.46,13.29,87.14,Medium,56.01
S00201,17,Female,Cairo,Math,13,100.0,5.96,92.36,Medium,56.92
S00202,15,Male,Giza,Computer Science,21,40.51,10.38,72.79,Low,37.48
S00203,21,Female,Cairo,English,15,70.08,7.45,86.99,Medium,45.29
S00204,22,Male,Alexandria,Math,20,62.96,10.17,72.31,Medium,46.67
S00205,17,Female,Mansoura,Science,19,89.68,13.07,100.0,Medium,57.77
S00206,17,Female,Giza,Computer Science,19,96.26,13.1,89.36,Medium,60.73
S00207,20,Male,Assiut,Math,21,59.19,10.26,75.38,Medium,45.89
S00208,22,Male,Giza,Arabic,15,85.32,6.27,89.37,Medium,52.14
S00209,17,Female,Cairo,Computer Science,15,71.15,10.68,87.71,Medium,45.77
S00210,20,Male,Giza,Computer Science,20,73.69,4.36,71.77,Medium,51.49
S00211,15,Female,Giza,English,15,71.6,9.32,77.54,Medium,45.97
S00212,19,Male,Mansoura,Math,16,74.41,11.19,100.0,Medium,48.15
S00213,22,Male,Cairo,English,17,52.17,8.16,77.73,Low,39.06
S00214,18,Female,Aswan,Math,20,74.61,8.98,82.0,Medium,51.91
S00215,20,Male,Assiut,English,12,63.73,4.63,59.33,Low,39.68
S00216,20,Female,Giza,Arabic,22,74.25,17.24,100.0,Medium,53.58
S00217,20,Female,Aswan,Arabic,19,79.73,3.36,76.61,Medium,53.3
S00218,20,Female,Cairo,Arabic,16,87.69,7.36,88.39,Medium,54.13
S00219,22,Female,Mansoura,Science,18,93.02,9.82,91.88,Medium,58.36
S00220,15,Male,Giza,Computer Science,22,66.93,4.07,85.53,Medium,50.29
S00221,22,Female,Alexandria,English,24,55.67,13.26,100.0,Medium,47.05
S00222,22,Female,Cairo,Science,26,64.27,14.56,100.0,Medium,52.75
S00223,22,Male,Mansoura,Computer Science,23,93.55,7.78,87.36,Medium,63.18
S00224,17,Female,Giza,Science,18,69.16,3.94,89.83,Medium,47.62
S00225,19,Male,Alexandria,Computer Science,21,53.05,9.25,76.14,Low,43.12
S00226,17,Female,Aswan,Math,14,70.35,8.69,65.11,Low,44.49
S00227,21,Male,Cairo,English,8,58.8,11.52,78.19,Low,33.79
S00228,18,Male,Aswan,English,19,59.26,10.72,82.81,Low,44.08
S00229,17,Male,Alexandria,Math,19,55.75,8.93,83.52,Low,42.5
S00230,20,Female,Mansoura,Science,18,77.48,6.69,78.42,Medium,51.37
S00231,15,Female,Alexandria,Arabic,21,66.85,12.42,85.15,Medium,49.33
S00232,18,Male,Mansoura,Science,16,86.16,6.19,78.28,Medium,53.44
S00233,16,Female,Aswan,Science,20,44.13,10.27,74.65,Low,38.19
S00234,17,Male,Giza,Computer Science,15,68.18,11.11,85.4,Low,44.43
S00235,18,Female,Assiut,Math,17,57.83,8.74,78.44,Low,41.61
S00236,15,Male,Aswan,Science,15,100.0,8.07,86.6,Medium,58.75
S00237,21,Male,Mansoura,Science,20,100.0,7.69,89.66,Medium,63.33
S00238,18,Female,Aswan,Math,28,36.76,9.93,85.19,Low,42.21
S00239,17,Female,Mansoura,English,23,100.0,6.78,85.45,Medium,66.08
S00240,16,Male,Giza,English,23,60.51,9.5,96.31,Medium,48.31
S00241,22,Female,Mansoura,Math,13,65.75,5.35,67.19,Low,41.5
S00242,21,Male,Assiut,Computer Science,15,40.32,6.34,64.77,Low,31.89
S00243,18,Female,Cairo,English,14,78.99,5.14,75.4,Medium,48.38
S00244,17,Male,Cairo,Math,23,37.0,8.21,77.9,Low,37.73
S00245,18,Male,Giza,Science,26,68.77,8.96,76.1,Medium,54.78
S00246,22,Female,Mansoura,English,14,73.09,5.24,78.23,Medium,45.72
S00247,16,Male,Mansoura,Science,20,73.53,9.04,82.27,Medium,51.42
S00248,20,Female,Mansoura,Math,13,94.91,8.16,92.09,Medium,54.63
S00249,22,Male,Cairo,Computer Science,18,67.29,6.84,82.79,Medium,46.78
S00250,21,Female,Cairo,Science,19,74.06,7.68,88.5,Medium,50.74
S00251,21,Female,Giza,Computer Science,15,55.31,11.75,84.05,Low,38.64
S00252,22,Female,Assiut,Arabic,14,69.3,4.94,61.41,Low,44.02
S00253,15,Female,Mansoura,Math,18,93.15,6.06,82.56,Medium,58.42
S00254,16,Female,Mansoura,Math,18,84.46,9.28,76.18,Medium,54.51
S00255,16,Male,Cairo,Science,15,96.5,9.26,94.0,Medium,57.18
S00256,19,Female,Mansoura,Computer Science,22,86.97,8.05,75.22,Medium,59.3
S00257,18,Male,Assiut,Math,16,64.4,5.28,63.57,Low,43.65
S00258,15,Female,Aswan,Math,21,97.82,8.2,99.44,Medium,63.27
S00259,19,Female,Mansoura,Arabic,20,75.87,8.22,79.7,Medium,52.47
S00260,15,Male,Alexandria,English,9,77.46,8.39,60.14,Low,43.11
S00261,18,Male,Mansoura,Math,16,53.88,11.2,69.45,Low,38.91
S00262,17,Female,Giza,Science,15,100.0,7.97,100.0,Medium,58.75
S00263,22,Female,Mansoura,English,11,46.76,2.98,72.01,Low,31.13
S00264,20,Male,Mansoura,Science,16,25.24,10.69,68.5,Low,26.02
S00265,19,Male,Mansoura,Math,21,56.09,6.92,91.92,Low,44.49
S00266,21,Male,Cairo,English,28,82.19,1.57,100.0,Medium,62.65
S00267,16,Female,Mansoura,Math,21,70.97,8.83,92.16,Medium,51.19
S00268,17,Female,Cairo,Arabic,10,48.19,5.05,67.31,Low,30.85
S00269,21,Male,Mansoura,Computer Science,21,58.12,10.84,93.45,Medium,45.4
S00270,20,Male,Aswan,Science,16,82.23,7.89,90.99,Medium,51.67
S00271,15,Female,Cairo,Arabic,16,41.99,11.33,60.21,Low,33.56
S00272,16,Female,Assiut,English,11,54.04,9.92,62.76,Low,34.4
S00273,16,Female,Assiut,Science,15,94.19,12.13,96.66,Medium,56.14
S00274,15,Male,Mansoura,Science,14,56.31,10.85,72.19,Low,38.17
S00275,20,Female,Cairo,Computer Science,16,85.31,3.79,78.21,Medium,53.06
S00276,15,Female,Aswan,Computer Science,28,41.79,9.25,72.31,Low,44.47
S00277,21,Female,Aswan,Science,21,68.23,2.36,64.61,Medium,49.95
S00278,19,Male,Assiut,Arabic,15,75.45,10.23,88.7,Medium,47.7
S00279,21,Female,Giza,Math,27,44.95,11.68,91.46,Low,44.98
S00280,18,Female,Assiut,English,15,74.38,7.46,70.79,Medium,47.22
S00281,22,Female,Cairo,Science,20,67.86,9.1,76.22,Medium,48.87
S00282,17,Female,Mansoura,Arabic,21,67.86,14.07,97.48,Medium,49.79
S00283,19,Male,Cairo,Math,19,85.87,10.22,91.72,Medium,56.06
S00284,15,Female,Giza,Arabic,17,63.3,12.51,89.37,Low,44.07
S00285,21,Female,Cairo,Computer Science,25,49.04,8.51,81.21,Low,44.98
S00286,19,Male,Assiut,Arabic,16,100.0,9.63,87.11,Medium,59.67
S00287,16,Female,Alexandria,Science,22,94.55,9.14,94.62,Medium,62.71
S00288,21,Male,Assiut,Science,21,67.86,2.96,78.77,Medium,49.79
S00289,22,Male,Cairo,Math,26,83.37,3.23,90.55,Medium,61.35
S00290,15,Female,Giza,Computer Science,21,65.4,11.03,94.78,Medium,48.68
S00291,21,Male,Giza,Math,15,66.09,15.43,100.0,Low,43.49
S00292,20,Female,Alexandria,Science,20,67.62,10.4,79.31,Medium,48.76
S00293,17,Male,Cairo,English,17,75.71,15.16,92.44,Medium,49.65
S00294,20,Female,Assiut,Math,19,65.36,7.19,66.3,Medium,46.83
S00295,21,Male,Giza,English,30,89.47,11.75,100.0,Medium,67.76
S00296,18,Male,Aswan,English,34,55.3,13.86,98.07,Medium,56.05
S00297,20,Male,Alexandria,Math,19,74.9,9.35,90.99,Medium,51.12
S00298,15,Female,Cairo,English,12,79.08,10.43,79.87,Medium,46.59
S00299,22,Female,Cairo,English,12,74.05,9.14,71.43,Low,44.32
S00300,22,Female,Giza,Computer Science,12,75.46,4.26,75.76,Low,44.96
S00301,16,Female,Cairo,Science,15,47.58,8.87,77.45,Low,35.16
S00302,18,Male,Mansoura,Science,16,68.56,6.76,79.66,Medium,45.52
S00303,16,Female,Assiut,Arabic,22,82.05,9.46,79.7,Medium,57.09
S00304,18,Male,Cairo,Math,20,45.28,8.67,73.18,Low,38.71
S00305,17,Male,Mansoura,Science,15,60.0,6.95,77.6,Low,40.75
S00306,21,Female,Cairo,Science,14,87.99,7.78,87.96,Medium,52.43
S00307,20,Female,Mansoura,Science,18,49.95,13.91,76.47,Low,38.98
S00308,21,Male,Cairo,Arabic,18,72.03,9.02,90.71,Medium,48.91
S00309,21,Female,Giza,Arabic,29,76.29,7.95,81.67,Medium,60.91
S00310,20,Female,Mansoura,Arabic,21,55.66,4.31,60.48,Low,44.3
S00311,16,Male,Giza,Math,25,82.79,3.54,78.85,Medium,60.17
S00312,21,Male,Cairo,Math,20,100.0,9.72,94.96,Medium,63.33
S00313,21,Female,Mansoura,Arabic,17,68.96,10.93,83.82,Medium,46.62
S00314,15,Female,Assiut,Science,20,82.11,7.43,66.48,Medium,55.28
S00315,15,Female,Aswan,Computer Science,21,72.97,9.19,78.0,Medium,52.09
S00316,21,Male,Assiut,Math,20,64.94,11.64,75.86,Medium,47.56
S00317,18,Male,Cairo,Computer Science,18,66.7,9.28,88.2,Medium,46.52
S00318,17,Male,Assiut,English,24,35.63,5.33,65.4,Low,38.03
S00319,18,Male,Mansoura,Arabic,23,91.89,9.25,84.3,Medium,62.43
S00320,21,Male,Cairo,Math,19,77.47,8.45,89.85,Medium,52.28
S00321,17,Female,Cairo,Math,19,94.29,15.89,100.0,Medium,59.85
S00322,17,Female,Assiut,Computer Science,21,76.69,10.31,87.08,Medium,53.76
S00323,18,Male,Mansoura,Science,11,67.73,6.88,83.77,Low,40.56
S00324,15,Male,Giza,Arabic,16,75.88,10.79,79.37,Medium,48.81
S00325,15,Male,Mansoura,Science,21,42.21,6.38,66.27,Low,38.24
S00326,18,Female,Cairo,English,15,93.46,10.25,95.26,Medium,55.81
S00327,15,Female,Alexandria,English,14,73.09,9.74,75.41,Medium,45.72
S00328,21,Female,Mansoura,English,20,60.64,8.76,92.1,Medium,45.62
S00329,18,Female,Cairo,Computer Science,13,75.89,11.75,87.53,Medium,46.07
S00330,19,Male,Giza,English,19,71.4,10.23,96.37,Medium,49.55
S00331,17,Male,Assiut,English,21,58.92,9.91,59.04,Medium,45.76
S00332,21,Female,Giza,Science,21,71.77,7.63,83.61,Medium,51.55
S00333,18,Female,Mansoura,Math,18,77.22,14.09,89.75,Medium,51.25
S00334,15,Male,Aswan,Computer Science,15,81.43,12.24,97.9,Medium,50.39
S00335,18,Female,Assiut,Arabic,19,64.35,9.17,79.14,Medium,46.37
S00336,16,Male,Mansoura,Computer Science,20,54.05,4.95,75.3,Low,42.66
S00337,19,Male,Aswan,Math,16,78.12,12.57,76.32,Medium,49.82
S00338,19,Female,Assiut,Math,19,66.69,5.06,77.03,Medium,47.43
S00339,18,Female,Mansoura,English,15,52.78,9.21,65.56,Low,37.5
S00340,18,Male,Cairo,Science,24,75.9,6.92,91.44,Medium,56.16
S00341,19,Male,Mansoura,Science,24,79.94,5.56,93.7,Medium,57.97
S00342,20,Female,Giza,English,18,45.86,4.1,66.19,Low,37.14
S00343,22,Male,Cairo,English,18,45.67,8.13,85.49,Low,37.05
S00344,22,Male,Alexandria,Arabic,22,89.18,12.62,98.92,Medium,60.3
S00345,15,Male,Cairo,Computer Science,18,74.68,11.66,100.0,Medium,50.11
S00346,20,Female,Cairo,Math,20,18.74,7.47,67.16,Low,26.77
S00347,15,Male,Alexandria,English,17,68.31,13.14,100.0,Medium,46.32
S00348,18,Male,Cairo,Math,12,94.21,10.26,80.01,Medium,53.39
S00349,20,Female,Aswan,Arabic,22,73.12,8.48,76.89,Medium,53.07
