Student_ID,Age,Gender,Region,Subject,App_Login_Count,Video_Completion_Rate,Study_Hours_Per_Week,Percentage,Engagement_Level,Engagement_Score,Risk_Reason
S00310,20,Female,Mansoura,Arabic,21,55.66,4.31,60.48,Low,44.3,Low engagement and below-average academic performance
S00318,17,Male,Assiut,English,24,35.63,5.33,65.4,Low,38.03,Low engagement and below-average academic performance
S00325,15,Male,Mansoura,Science,21,42.21,6.38,66.27,Low,38.24,Low engagement and below-average academic performance
S00336,16,Male,Mansoura,Computer Science,20,54.05,4.95,75.3,Low,42.66,Low engagement and below-average academic performance
S00339,18,Female,Mansoura,English,15,52.78,9.21,65.56,Low,37.5,Low engagement and below-average academic performance
S00342,20,Female,Giza,English,18,45.86,4.1,66.19,Low,37.14,Low engagement and below-average academic performance
S00346,20,Female,Cairo,Math,20,18.74,7.47,67.16,Low,26.77,Low engagement and below-average academic performance
S00350,19,Female,Aswan,Math,17,56.66,7.82,54.67,Low,41.08,Low engagement and below-average academic performance
S00356,21,Male,Giza,Math,16,49.54,9.05,67.31,Low,36.96,Low engagement and below-average academic performance
S00357,16,Female,Alexandria,Computer Science,11,74.44,11.32,75.06,Low,43.58,Low engagement and below-average academic performance
S00363,21,Female,Alexandria,Math,16,41.4,10.1,75.86,Low,33.3,Low engagement and below-average academic performance
S00364,20,Male,Aswan,Science,14,58.03,7.45,61.27,Low,38.95,Low engagement and below-average academic performance
S00375,21,Male,Assiut,Computer Science,11,66.11,4.24,71.15,Low,39.83,Low engagement and below-average academic performance
S00380,18,Female,Cairo,Arabic,15,39.18,7.9,63.38,Low,31.38,Low engagement and below-average academic performance
S00383,21,Male,Cairo,English,18,39.42,3.33,52.09,Low,34.24,Low engagement and below-average academic performance
S00384,20,Female,Aswan,Computer Science,15,69.08,9.38,74.03,Low,44.84,Low engagement and below-average academic performance
S00385,20,Female,Cairo,Computer Science,13,38.26,8.44,72.47,Low,29.13,Low engagement and below-average academic performance
S00388,19,Male,Assiut,English,18,49.36,7.18,72.05,Low,38.71,Low engagement and below-average academic performance
S00391,16,Male,Giza,Computer Science,17,48.19,8.39,72.98,Low,37.27,Low engagement and below-average academic performance
S00392,20,Female,Cairo,Computer Science,13,48.83,8.93,71.16,Low,33.89,Low engagement and below-average academic performance
S00394,18,Male,Giza,Science,16,50.04,4.62,77.55,Low,37.18,Low engagement and below-average academic performance
S00395,15,Male,Alexandria,Arabic,22,47.46,8.43,66.07,Low,41.52,Low engagement and below-average academic performance
S00405,15,Female,Giza,English,18,45.38,13.87,77.84,Low,36.92,Low engagement and below-average academic performance
S00406,22,Male,Aswan,Math,21,43.54,11.16,75.15,Low,38.84,Low engagement and below-average academic performance
S00410,19,Female,Giza,Computer Science,17,46.56,9.9,69.55,Low,36.54,Low engagement and below-average academic performance
S00412,21,Female,Cairo,Arabic,10,42.02,8.78,64.19,Low,28.08,Low engagement and below-average academic performance
S00414,22,Female,Aswan,Arabic,10,51.75,9.46,62.68,Low,32.45,Low engagement and below-average academic performance
S00420,20,Male,Cairo,Science,14,59.15,14.85,77.16,Low,39.45,Low engagement and below-average academic performance
S00421,22,Male,Giza,Math,26,31.12,3.71,53.41,Low,37.84,Low engagement and below-average academic performance
S00422,22,Male,Assiut,Arabic,21,49.62,6.06,74.02,Low,41.58,Low engagement and below-average academic performance
S00425,21,Female,Giza,Math,24,51.05,5.4,78.09,Low,44.97,Low engagement and below-average academic performance
S00428,22,Male,Aswan,Arabic,11,47.22,9.01,67.38,Low,31.33,Low engagement and below-average academic performance
S00431,15,Female,Alexandria,Arabic,16,57.13,9.73,75.55,Low,40.38,Low engagement and below-average academic performance
S00439,20,Female,Giza,Computer Science,15,53.33,9.76,75.13,Low,37.75,Low engagement and below-average academic performance
S00442,15,Female,Giza,Computer Science,19,52.66,4.64,77.91,Low,41.11,Low engagement and below-average academic performance
S00444,21,Female,Cairo,Computer Science,14,50.65,9.95,80.33,Low,35.63,Low engagement and below-average academic performance
S00448,21,Male,Cairo,English,17,47.38,9.59,71.16,Low,36.9,Low engagement and below-average academic performance
S00452,21,Male,Giza,Computer Science,17,54.12,5.41,68.17,Low,39.94,Low engagement and below-average academic performance
S00456,21,Male,Cairo,English,11,41.62,9.51,58.25,Low,28.81,Low engagement and below-average academic performance
S00457,16,Female,Alexandria,Arabic,18,53.4,9.5,65.25,Low,40.53,Low engagement and below-average academic performance
S00476,22,Male,Giza,Math,18,62.05,7.69,66.71,Low,44.42,Low engagement and below-average academic performance
S00481,21,Female,Giza,English,15,32.8,12.48,74.06,Low,28.51,Low engagement and below-average academic performance
S00494,16,Male,Assiut,Computer Science,14,47.28,9.19,67.27,Low,34.11,Low engagement and below-average academic performance
S00497,22,Female,Assiut,Arabic,18,31.05,11.34,78.63,Low,30.47,Low engagement and below-average academic performance
S00498,15,Female,Alexandria,Math,10,46.84,9.83,45.7,Low,30.24,Low engagement and below-average academic performance
S00505,16,Female,Giza,Science,16,59.95,5.37,58.41,Low,41.64,Low engagement and below-average academic performance
S00514,21,Male,Cairo,Science,6,11.86,5.51,59.47,Low,10.84,Low engagement and below-average academic performance
S00517,18,Male,Assiut,Math,20,51.12,11.92,71.42,Low,41.34,Low engagement and below-average academic performance
S00518,16,Female,Assiut,Science,13,70.37,9.77,77.98,Low,43.58,Low engagement and below-average academic performance
S00520,22,Male,Giza,English,14,58.59,10.02,76.19,Low,39.2,Low engagement and below-average academic performance
S00526,17,Female,Giza,Math,12,43.98,6.83,48.54,Low,30.79,Low engagement and below-average academic performance
S00527,17,Male,Assiut,Computer Science,19,49.92,7.64,78.7,Low,39.88,Low engagement and below-average academic performance
S00529,22,Male,Aswan,Science,15,59.96,6.99,72.93,Low,40.73,Low engagement and below-average academic performance
S00532,22,Female,Cairo,Computer Science,15,28.12,6.49,70.24,Low,26.4,Low engagement and below-average academic performance
S00534,15,Female,Mansoura,Math,17,64.27,8.38,67.49,Low,44.5,Low engagement and below-average academic performance
S00535,18,Male,Assiut,Math,18,43.37,5.11,52.72,Low,36.02,Low engagement and below-average academic performance
S00542,21,Female,Giza,Computer Science,11,58.66,6.82,58.23,Low,36.48,Low engagement and below-average academic performance
S00543,19,Female,Assiut,Math,19,34.47,8.16,67.31,Low,32.93,Low engagement and below-average academic performance
S00544,20,Female,Cairo,Science,13,43.88,8.98,64.23,Low,31.66,Low engagement and below-average academic performance
S00546,15,Female,Alexandria,English,22,51.41,4.21,70.13,Low,43.3,Low engagement and below-average academic performance
S00547,17,Female,Assiut,Computer Science,14,52.34,5.05,77.04,Low,36.39,Low engagement and below-average academic performance
S00554,17,Female,Alexandria,Arabic,12,70.97,11.28,80.7,Low,42.94,Low engagement and below-average academic performance
S00569,17,Male,Cairo,English,14,57.33,5.31,65.18,Low,38.63,Low engagement and below-average academic performance
S00571,20,Male,Assiut,Arabic,15,53.3,11.53,57.64,Low,37.74,Low engagement and below-average academic performance
S00576,21,Female,Aswan,Arabic,22,36.53,5.95,55.06,Low,36.61,Low engagement and below-average academic performance
S00578,21,Male,Cairo,Math,19,59.2,6.86,67.23,Low,44.06,Low engagement and below-average academic performance
S00582,21,Male,Assiut,Arabic,16,67.32,9.63,69.66,Low,44.96,Low engagement and below-average academic performance
S00583,17,Female,Mansoura,Computer Science,11,66.39,10.54,78.31,Low,39.96,Low engagement and below-average academic performance
S00586,18,Male,Mansoura,Computer Science,20,58.34,7.81,78.35,Low,44.59,Low engagement and below-average academic performance
S00589,20,Male,Giza,Math,20,56.8,10.23,78.92,Low,43.89,Low engagement and below-average academic performance
S00591,15,Male,Aswan,Math,14,51.63,8.83,60.27,Low,36.07,Low engagement and below-average academic performance
S00593,19,Female,Assiut,Math,23,34.87,10.53,67.86,Low,36.77,Low engagement and below-average academic performance
S00599,15,Male,Cairo,Arabic,14,32.36,14.49,71.68,Low,27.4,Low engagement and below-average academic performance
S00603,19,Male,Alexandria,Math,22,48.36,9.85,74.82,Low,41.93,Low engagement and below-average academic performance
S00613,15,Male,Assiut,English,17,50.99,12.59,79.21,Low,38.53,Low engagement and below-average academic performance
S00621,21,Female,Alexandria,Arabic,21,33.31,10.97,66.87,Low,34.24,Low engagement and below-average academic performance
S00625,20,Male,Alexandria,Science,18,47.5,8.65,77.49,Low,37.88,Low engagement and below-average academic performance
S00628,18,Female,Cairo,Computer Science,16,34.23,9.77,76.67,Low,30.07,Low engagement and below-average academic performance
S00629,19,Male,Giza,Science,12,47.19,7.44,75.08,Low,32.24,Low engagement and below-average academic performance
S00630,22,Female,Alexandria,Arabic,15,53.98,10.49,71.65,Low,38.04,Low engagement and below-average academic performance
S00645,19,Male,Mansoura,Math,19,37.97,13.19,60.16,Low,34.5,Low engagement and below-average academic performance
S00647,21,Female,Cairo,Math,20,35.35,8.25,73.86,Low,34.24,Low engagement and below-average academic performance
S00653,16,Female,Alexandria,Science,13,55.76,9.66,77.92,Low,37.01,Low engagement and below-average academic performance
S00663,18,Female,Alexandria,Computer Science,11,71.45,12.43,66.07,Low,42.24,Low engagement and below-average academic performance
S00668,17,Male,Assiut,English,19,53.46,14.67,68.18,Low,41.47,Low engagement and below-average academic performance
S00669,17,Male,Giza,English,13,59.56,10.06,64.57,Low,38.72,Low engagement and below-average academic performance
S00670,15,Female,Mansoura,English,16,49.14,13.1,78.7,Low,36.78,Low engagement and below-average academic performance
S00671,15,Male,Giza,English,15,44.25,3.69,70.4,Low,33.66,Low engagement and below-average academic performance
S00674,19,Female,Giza,Arabic,18,42.93,8.54,74.07,Low,35.82,Low engagement and below-average academic performance
S00680,15,Male,Giza,Math,19,37.75,8.99,76.13,Low,34.4,Low engagement and below-average academic performance
S00684,21,Male,Cairo,Math,23,47.88,9.06,72.91,Low,42.63,Low engagement and below-average academic performance
S00692,22,Male,Aswan,English,19,54.55,12.27,70.56,Low,41.96,Low engagement and below-average academic performance
S00697,16,Male,Giza,Math,19,35.88,11.29,78.6,Low,33.56,Low engagement and below-average academic performance
S00698,16,Male,Alexandria,English,18,24.73,10.13,70.22,Low,27.63,Low engagement and below-average academic performance
S00701,18,Male,Giza,Science,18,48.49,9.93,74.52,Low,38.32,Low engagement and below-average academic performance
S00707,22,Female,Cairo,English,17,46.31,10.67,78.54,Low,36.42,Low engagement and below-average academic performance
S00708,15,Male,Assiut,Arabic,17,59.09,9.5,79.27,Low,42.17,Low engagement and below-average academic performance
S00709,15,Female,Mansoura,Science,22,54.14,3.94,72.44,Low,44.53,Low engagement and below-average academic performance
S00712,15,Male,Cairo,Math,15,60.45,11.02,66.68,Low,40.95,Low engagement and below-average academic performance
S00723,21,Male,Alexandria,Science,12,63.99,6.98,66.27,Low,39.8,Low engagement and below-average academic performance
S00726,22,Female,Mansoura,English,16,59.86,10.22,79.76,Low,41.6,Low engagement and below-average academic performance
S00728,16,Female,Mansoura,Math,14,53.7,10.38,70.68,Low,37.0,Low engagement and below-average academic performance
S00731,19,Male,Giza,Math,13,54.02,6.58,53.55,Low,36.23,Low engagement and below-average academic performance
S00734,15,Male,Mansoura,Arabic,11,44.88,10.9,72.42,Low,30.28,Low engagement and below-average academic performance
S00740,18,Male,Assiut,Science,14,57.88,6.16,59.65,Low,38.88,Low engagement and below-average academic performance
S00743,17,Male,Alexandria,Computer Science,12,44.41,7.46,58.96,Low,30.98,Low engagement and below-average academic performance
S00744,16,Female,Cairo,Computer Science,18,60.48,9.45,80.51,Low,43.72,Low engagement and below-average academic performance
S00745,16,Male,Cairo,Arabic,13,63.28,10.89,71.8,Low,40.39,Low engagement and below-average academic performance
S00753,20,Female,Assiut,Math,15,48.72,8.65,71.81,Low,35.67,Low engagement and below-average academic performance
S00755,15,Male,Giza,Science,18,54.03,8.45,66.25,Low,40.81,Low engagement and below-average academic performance
S00756,21,Female,Giza,Arabic,19,61.02,12.73,78.7,Low,44.88,Low engagement and below-average academic performance
S00760,18,Male,Alexandria,Science,13,46.52,2.15,60.83,Low,32.85,Low engagement and below-average academic performance
S00763,19,Male,Giza,English,15,48.17,13.86,80.61,Low,35.43,Low engagement and below-average academic performance
S00764,20,Male,Alexandria,Computer Science,18,40.09,1.94,49.12,Low,34.54,Low engagement and below-average academic performance
S00771,20,Male,Giza,Arabic,16,64.63,11.42,70.16,Low,43.75,Low engagement and below-average academic performance
S00774,22,Male,Giza,English,16,44.05,7.74,78.11,Low,34.49,Low engagement and below-average academic performance
S00779,17,Female,Mansoura,Science,17,55.54,11.76,67.68,Low,40.58,Low engagement and below-average academic performance
S00786,16,Male,Alexandria,Computer Science,19,50.87,7.99,70.29,Low,40.31,Low engagement and below-average academic performance
S00790,22,Female,Mansoura,Arabic,11,55.24,7.47,70.56,Low,34.94,Low engagement and below-average academic performance
S00794,15,Male,Aswan,Computer Science,13,73.5,4.3,75.3,Low,44.99,Low engagement and below-average academic performance
S00804,19,Male,Alexandria,Computer Science,14,54.6,6.89,68.91,Low,37.4,Low engagement and below-average academic performance
S00805,18,Male,Assiut,Computer Science,12,57.75,8.23,62.02,Low,36.99,Low engagement and below-average academic performance
S00808,16,Female,Alexandria,English,17,37.28,8.77,65.85,Low,32.36,Low engagement and below-average academic performance
S00812,22,Male,Alexandria,Arabic,24,49.11,12.64,76.79,Low,44.1,Low engagement and below-average academic performance
S00821,22,Female,Alexandria,Math,15,46.63,8.87,76.58,Low,34.73,Low engagement and below-average academic performance
S00830,16,Female,Mansoura,Arabic,15,43.17,6.49,73.75,Low,33.18,Low engagement and below-average academic performance
S00835,15,Male,Cairo,English,13,68.51,5.85,69.08,Low,42.75,Low engagement and below-average academic performance
S00841,19,Female,Alexandria,Arabic,14,46.53,7.56,48.03,Low,33.77,Low engagement and below-average academic performance
S00845,17,Female,Cairo,Math,20,45.47,9.89,79.84,Low,38.79,Low engagement and below-average academic performance
S00847,19,Female,Giza,Math,16,60.96,6.79,76.43,Low,42.1,Low engagement and below-average academic performance
S00859,19,Male,Giza,Arabic,17,21.06,8.82,61.62,Low,25.06,Low engagement and below-average academic performance
S00860,15,Male,Giza,English,18,43.73,6.04,63.5,Low,36.18,Low engagement and below-average academic performance
S00861,20,Male,Aswan,Math,16,62.26,7.86,68.36,Low,42.68,Low engagement and below-average academic performance
S00870,18,Female,Mansoura,Computer Science,11,31.56,8.85,71.96,Low,24.29,Low engagement and below-average academic performance
S00873,22,Female,Assiut,Math,15,66.36,8.93,78.53,Low,43.61,Low engagement and below-average academic performance
S00874,21,Female,Mansoura,English,15,34.18,11.17,70.17,Low,29.13,Low engagement and below-average academic performance
S00882,22,Male,Giza,Science,16,29.8,9.48,71.44,Low,28.08,Low engagement and below-average academic performance
S00885,19,Male,Assiut,Science,12,72.9,4.08,69.55,Low,43.81,Low engagement and below-average academic performance
S00889,21,Female,Aswan,Science,19,59.01,9.14,69.09,Low,43.97,Low engagement and below-average academic performance
S00891,18,Female,Giza,English,18,62.53,8.13,76.13,Low,44.64,Low engagement and below-average academic performance
S00894,16,Male,Aswan,Math,21,55.15,11.19,76.61,Low,44.07,Low engagement and below-average academic performance
S00897,16,Male,Assiut,Computer Science,18,57.86,3.89,65.76,Low,42.54,Low engagement and below-average academic performance
S00898,21,Female,Cairo,Science,15,57.5,11.51,72.93,Low,39.62,Low engagement and below-average academic performance
S00902,21,Female,Cairo,Science,25,30.56,5.77,75.92,Low,36.67,Low engagement and below-average academic performance
S00903,20,Female,Alexandria,Math,20,57.15,7.44,78.23,Low,44.05,Low engagement and below-average academic performance
S00904,18,Male,Alexandria,Arabic,26,37.07,3.72,77.98,Low,40.51,Low engagement and below-average academic performance
S00905,21,Female,Aswan,English,15,44.38,7.17,54.53,Low,33.72,Low engagement and below-average academic performance
S00910,16,Female,Mansoura,Computer Science,9,43.43,7.6,66.43,Low,27.79,Low engagement and below-average academic performance
S00913,21,Female,Aswan,Math,19,39.01,7.79,67.68,Low,34.97,Low engagement and below-average academic performance
S00915,16,Male,Giza,Arabic,10,57.96,4.71,52.16,Low,35.25,Low engagement and below-average academic performance
S00916,21,Female,Cairo,Math,22,24.75,8.28,73.56,Low,31.3,Low engagement and below-average academic performance
S00923,18,Female,Mansoura,Science,15,66.99,7.21,74.13,Low,43.9,Low engagement and below-average academic performance
S00928,18,Female,Giza,Math,8,59.46,5.99,63.07,Low,34.09,Low engagement and below-average academic performance
S00937,22,Female,Cairo,Arabic,15,64.29,12.73,73.45,Low,42.68,Low engagement and below-average academic performance
S00940,15,Male,Alexandria,Math,20,35.38,9.35,50.91,Low,34.25,Low engagement and below-average academic performance
S00942,20,Female,Giza,English,15,59.31,8.99,75.87,Low,40.44,Low engagement and below-average academic performance
S00949,21,Male,Giza,Arabic,15,67.98,2.92,68.4,Low,44.34,Low engagement and below-average academic performance
S00959,16,Male,Assiut,Science,18,63.12,9.0,66.72,Low,44.9,Low engagement and below-average academic performance
S00960,20,Female,Giza,Math,11,16.8,10.99,61.97,Low,17.64,Low engagement and below-average academic performance
S00963,20,Male,Assiut,English,16,61.78,11.59,71.46,Low,42.47,Low engagement and below-average academic performance
S00964,17,Female,Assiut,Science,16,54.39,5.27,59.66,Low,39.14,Low engagement and below-average academic performance
S00968,18,Female,Cairo,Math,12,60.74,10.98,77.96,Low,38.33,Low engagement and below-average academic performance
S00969,19,Male,Aswan,Arabic,10,72.74,8.55,64.08,Low,41.9,Low engagement and below-average academic performance
S00971,15,Female,Alexandria,Science,21,35.47,3.28,80.39,Low,35.21,Low engagement and below-average academic performance
S00973,19,Female,Giza,Arabic,17,51.86,10.26,68.93,Low,38.92,Low engagement and below-average academic performance
S00974,22,Female,Assiut,Arabic,21,36.6,9.23,60.44,Low,35.72,Low engagement and below-average academic performance
S00982,16,Male,Alexandria,Arabic,10,73.57,11.34,73.58,Low,42.27,Low engagement and below-average academic performance
S00984,19,Male,Mansoura,Math,16,46.91,9.17,71.44,Low,35.78,Low engagement and below-average academic performance
S00987,15,Male,Mansoura,English,17,56.32,6.24,70.11,Low,40.93,Low engagement and below-average academic performance
S00988,22,Female,Mansoura,English,19,54.6,8.29,69.73,Low,41.99,Low engagement and below-average academic performance
S00993,21,Female,Mansoura,Science,20,18.26,5.33,64.82,Low,26.55,Low engagement and below-average academic performance
S00995,19,Male,Cairo,Science,22,49.08,9.82,76.23,Low,42.25,Low engagement and below-average academic performance
S00996,20,Male,Mansoura,English,22,43.84,3.74,70.29,Low,39.89,Low engagement and below-average academic performance
S00998,16,Female,Cairo,English,10,43.35,7.86,54.11,Low,28.67,Low engagement and below-average academic performance
S00999,19,Male,Mansoura,Science,20,54.83,7.86,76.1,Low,43.01,Low engagement and below-average academic performance
S01001,21,Male,Mansoura,English,14,60.26,6.66,76.03,Low,39.95,Low engagement and below-average academic performance
S01007,15,Male,Alexandria,Math,17,40.79,9.04,75.67,Low,33.94,Low engagement and below-average academic performance
S01008,22,Male,Alexandria,Arabic,20,42.34,10.59,76.86,Low,37.39,Low engagement and below-average academic performance
S01011,19,Female,Aswan,Math,19,23.47,11.43,60.25,Low,27.98,Low engagement and below-average academic performance
S01015,16,Male,Alexandria,English,18,56.95,7.17,68.83,Low,42.13,Low engagement and below-average academic performance
S01020,17,Female,Giza,Arabic,14,59.93,8.83,63.89,Low,39.8,Low engagement and below-average academic performance
S01023,21,Male,Giza,Math,18,60.47,1.04,56.09,Low,43.71,Low engagement and below-average academic performance
S01028,17,Female,Giza,Science,19,55.96,11.74,71.04,Low,42.6,Low engagement and below-average academic performance
S01029,22,Male,Assiut,Math,19,43.98,9.08,67.91,Low,37.21,Low engagement and below-average academic performance
S01033,16,Male,Aswan,Math,15,47.04,9.94,68.8,Low,34.92,Low engagement and below-average academic performance
S01037,19,Male,Cairo,Math,21,42.79,7.62,71.76,Low,38.51,Low engagement and below-average academic performance
S01045,19,Male,Cairo,English,14,61.31,11.27,78.05,Low,40.42,Low engagement and below-average academic performance
S01054,21,Male,Alexandria,Computer Science,14,55.36,6.91,63.3,Low,37.75,Low engagement and below-average academic performance
S01056,15,Male,Cairo,Arabic,22,28.19,12.27,70.9,Low,32.85,Low engagement and below-average academic performance
S01058,18,Male,Cairo,Math,17,60.12,5.67,70.14,Low,42.64,Low engagement and below-average academic performance
S01062,19,Male,Alexandria,Math,18,51.82,8.44,79.29,Low,39.82,Low engagement and below-average academic performance
S01065,16,Male,Assiut,English,19,57.08,2.37,66.2,Low,43.1,Low engagement and below-average academic performance
S01069,20,Female,Aswan,Math,17,50.17,8.06,60.66,Low,38.16,Low engagement and below-average academic performance
